session,run,order,video_name,duration
1,1,1,ses-01_run-01_order-01_content-idiots.mp4,0:51:00
1,1,2,ses-01_run-01_order-02_content-wanderers.mp4,3:18:00
1,1,3,ses-01_run-01_order-03_content-lioncubs.mp4,1:00:00
1,1,4,ses-01_run-01_order-04_content-parkour.mp4,0:38:00
1,2,1,ses-01_run-02_order-01_content-harrymetsally.mp4,2:35:00
1,2,2,ses-01_run-02_order-02_content-HB.mp4,0:57:00
1,2,3,ses-01_run-02_order-03_content-islamophobia.mp4,4:03
1,2,4,ses-01_run-02_order-04_content-beachsunset.mp4,0:30:00
1,3,1,ses-01_run-03_order-01_content-huggingpets.mp4,1:46:00
1,3,2,ses-01_run-03_order-02_content-bestfriendsweating.mp4,0:59:00
1,3,3,ses-01_run-03_order-03_content-cupstacking.mp4,0:20:00
1,3,4,ses-01_run-03_order-04_content-dancewithdeath.mp4,2:16:00
1,4,1,ses-01_run-04_order-01_content-beatbox.mp4,2:21:00
1,4,2,ses-01_run-04_order-02_content-angrygrandpa.mp4,5:38:00
2,1,1,ses-02_run-01_order-01_content-knifegame.mp4,0:27:00
2,1,2,ses-02_run-01_order-02_content-freesolo.mp4,1:11
2,1,3,ses-02_run-01_order-03_content-youth.mp4,1:51:00
2,1,4,ses-02_run-01_order-04_content-deer.mp4,0:30:00
2,2,1,ses-02_run-02_order-01_content-mediabias.mp4,0:35
2,2,2,ses-02_run-02_order-02_content-photography.mp4,3:27:00
2,2,3,ses-02_run-02_order-03_content-menrunning.mp4,3:23:00
2,2,4,ses-02_run-02_order-04_content-giving.mp4,2:57:00
2,3,1,ses-02_run-03_order-01_content-unefille.mp4,1:56:00
2,3,2,ses-02_run-03_order-02_content-captureflag.mp4,2:59:00
2,3,3,ses-02_run-03_order-03_content-tornado.mp4,0:26:00
2,3,4,ses-02_run-03_order-04_content-war.mp4,1:02:00
2,4,1,ses-02_run-04_order-01_content-forestfire.mp4,0:47:00
2,4,2,ses-02_run-04_order-02_content-iceblock.mp4,0:46:00
2,4,3,ses-02_run-04_order-03_content-alwaysafamily.mp4,2:23:00
2,4,4,ses-02_run-04_order-04_content-visswar.mp4,0:33:00
3,1,1,ses-03_run-01_order-01_content-mountainbike.mp4,3:26:00
3,1,2,ses-03_run-01_order-02_content-carflood.mp4,0:20:00
3,1,3,ses-03_run-01_order-03_content-fireplace.mp4,0:30:00
3,1,4,ses-03_run-01_order-04_content-snakes.mp4,2:03
3,2,1,ses-03_run-02_order-01_content-planetearth.mp4,2:27:00
3,2,2,ses-03_run-02_order-02_content-normativeprosocial3.mp4,1:26
3,2,3,ses-03_run-02_order-03_content-heartstop.mp4,3:20:00
3,2,4,ses-03_run-02_order-04_content-beachsunrise.mp4,0:30:00
3,3,1,ses-03_run-03_order-01_content-normativeprosocial2.mp4,1:45
3,3,2,ses-03_run-03_order-02_content-normativeprosocial1.mp4,1:14
3,3,3,ses-03_run-03_order-03_content-stardust.mp4,3:16:00
4,1,1,ses-04_run-01_order-01_content-universe.mp4,
4,1,2,ses-04_run-01_order-02_content-gockskumara.mp4,
4,1,3,ses-04_run-01_order-03_content-skiing.mp4,0:57:00
4,1,4,ses-04_run-01_order-04_content-cyclegraphics.mp4,
4,2,1,ses-04_run-02_order-01_content-dogdance.mp4,
4,2,2,ses-04_run-02_order-02_content-littleboat.mp4,4:00:00
4,2,3,ses-04_run-02_order-03_content-gangan.mp4,
4,2,4,ses-04_run-02_order-04_content-tornado.mp4,
